articleID,Name,Release Date,Price,Genre
465,Piece By Piece,11/15/2006,0.55,Punk Rock
234,Stargazing,11/15/2006,0.55,Punk Rock
372,Take What You Want,11/15/2006,0.55,Punk Rock
480,Change The World,11/15/2006,0.55,Punk Rock
299,So What,1/16/2011,0.55,Pop
487,Bad Romance,10/29/2012,0.95,Pop
387,Take Care,10/29/2012,0.95,Pop
323,Starships,10/29/2012,0.95,Pop
368,Closer,10/29/2012,0.95,Pop
371,Say Something,10/29/2012,0.95,Pop
55,Don't Matter To Me,9/24/2016,0.95,Indie Pop
186,Come With Me,9/24/2016,0.95,Indie Pop
85,Change,9/24/2016,0.95,Indie Pop
196,Skyscraper,9/24/2016,0.95,Indie Pop
428,Perfect,9/24/2016,0.95,Indie Pop
82,Dangerous Woman,9/24/2016,0.95,Indie Pop
160,Real Love,5/17/2013,0.55,Independent
435,A Little Bit Longer,7/15/2013,0.55,Independent
80,So Good,10/10/2014,0.95,Independent
255,Diana,10/10/2014,0.95,Independent
142,Dirt,3/17/1998,0.55,Rap
364,Sorry,3/17/1998,0.55,Rap
359,Rise,3/17/1998,0.55,Rap
148,Paranoid,3/17/1998,0.55,Rap
19,All Mine,3/17/1998,0.55,Rap
63,Bandit,2/5/2001,0.55,R&B
45,Blinding Lights,2/5/2001,0.55,R&B
141,Diggin' On You,2/5/2001,0.55,R&B
172,Somewhere,2/5/2001,0.55,R&B
467,Ring The Alarm,2/5/2001,0.55,R&B
334,Airplanes,5/10/2002,0.95,R&B
329,Runaway,7/11/2003,0.95,R&B
202,Take A Little Ride,11/11/2015,0,Independent
302,Burnin' It Down,11/11/2015,0,Independent
275,Bitter Sweet Symphony,11/11/2015,0,Independent
245,Come And Get With Me,11/11/2015,0,Independent
263,Ours,10/13/1999,0.55,Hip-Hop/Rap
122,Die Young,10/13/1999,0.55,Hip-Hop/Rap
62,State Of Grace,10/13/1999,0.55,Hip-Hop/Rap
338,Do What U Want,10/13/1999,0.55,Hip-Hop/Rap
252,Steal My Girl,2/19/2001,0.95,Hip-Hop/Rap
287,Rap Devil,2/19/2001,0.95,Hip-Hop/Rap
370,That's The Way Love Goes,8/12/2007,0,Jazz
321,Save Tonight,8/12/2007,0,Jazz
235,All For You,8/12/2007,0,Jazz
95,To The Limit,8/12/2007,0,Jazz
20,Love Betty,8/12/2007,0,Jazz
412,Photograph,1/4/2019,0.95,R&B
52,Rich & Sad,1/4/2019,0.95,R&B
410,Dedicate,1/4/2019,0.95,R&B
5,Rescue Me,1/4/2019,0.95,R&B
257,Again,1/4/2019,0.95,R&B
322,All My Life,6/6/2004,0.95,Soundtrack
86,Sing,6/6/2004,0.95,Soundtrack
65,Break Free,6/6/2004,0.95,Soundtrack
437,All Day,6/6/2004,0.95,Soundtrack
128,Perfect Illusion,4/12/1996,0.55,Pop
75,Spoil My Night,4/12/1996,0.55,Pop
107,One Summer Night,4/12/1996,0.55,Pop
381,Pushin' Me Away,4/12/1996,0.55,Pop
213,One Less Lonely Girl,2/28/1995,0.55,Pop
4,Paradise,4/25/2009,0.55,Rock
280,Ronan,4/25/2009,0.55,Rock
300,Diamonds,4/25/2009,0.55,Rock
14,That's My Kind Of Night,4/25/2009,0.55,Rock
315,Say Something,4/25/2009,0.55,Rock
241,Amnesia,5/17/2011,0.55,Rock
497,Show Me What You Got,6/19/1984,0,Country
217,Tell It To The Rain,6/19/1984,0,Country
224,Please Remember Me,6/19/1984,0,Country
363,Don't Bring Me Down,6/19/1984,0,Country
90,"That Sunday, That Summer",6/19/1984,0,Country
286,Thank The Lord For The Night Time,6/19/1984,0,Country
56,Stay In My Corner,7/24/2005,0.55,Rock
379,Sweet Blindness,7/24/2005,0.55,Rock
445,Share Your Love With Me,7/24/2005,0.55,Rock
117,Something Better To Do,7/24/2005,0.55,Rock
3,In & Out,7/24/2005,0.55,Rock
348,Do I Do,7/27/2017,0.95,Soul
481,Smooth Criminal,10/3/2016,0.95,Soul
92,One,9/15/2015,0.95,Soul
278,Rock And Roll Dreams Come Through,5/5/2019,0,Rock
207,Please Love Me Forever,6/6/2018,0,Rock
408,Ain't Too Proud To Beg,1/5/2020,0.55,Independent
307,Over Under Sideways Down,11/28/2019,0.55,Independent
266,Reflections Of My Life,3/16/2019,0,Independent
281,Can't Stop Dancin',8/15/2018,0,Independent
386,American Storm,10/11/2003,0.55,Punk Rock
64,Didn't I (Blow Your Mind),10/11/2003,0.55,Punk Rock
161,Don't Cry,10/11/2003,0.55,Punk Rock
305,People Everyday,10/11/2003,0.55,Punk Rock
48,Cherry Pie,10/11/2003,0.55,Punk Rock
61,A Swingin' Safari,3/16/1998,0,Independent
313,Dear Lonely Hearts,3/16/1998,0,Independent
9,Our Winter Love,3/16/1998,0,Independent
297,Red Roses For A Blue Lady,10/19/2009,0.55,Country
462,Sing A Song,10/19/2009,0.55,Country
0,Ready To Take A Chance Again,10/19/2009,0.55,Country
177,Shine A Little Love,10/19/2009,0.55,Country
375,Can't Cry Anymore,10/19/2009,0.55,Country
430,Summer Nights,4/27/2011,0,Electro Pop
494,Stranger In My House,5/20/2015,0,Electro Pop
144,"Do What You Want, Be What You Are",3/20/2017,0.95,Electro Pop
434,A Penny For Your Thoughts,1/15/2013,0,Folk
58,Burning Heart,5/12/2014,0.55,Folk
247,Don't Happen Twice,4/10/2013,0.55,Folk
243,Sideways,4/10/2013,0.55,Folk
485,Come With Me Now,4/10/2013,0.55,Folk
