article_id,ISA_album,title,genre,release_date,price
277,0,Paradise,Rock,2009-04-25,0.55
287,0,Ronan,Rock,2009-04-25,0.55
102,0,Diamonds,Rock,2009-04-25,0.55
58,0,That s My Kind Of Night,Rock,2009-04-25,0.55
366,0,Say Something,Rock,2009-04-25,0.55
76,1,Ronan,Rock,2009-04-25,2.75
320,0,Amnesia,Rock,2011-05-17,0.55
177,1,Amnesia,Rock,2011-05-17,0.55
397,0,Show Me What You Got,Country,1984-06-19,0
457,0,Tell It To The Rain,Country,1984-06-19,0
335,0,Please Remember Me,Country,1984-06-19,0
442,0,Don t Bring Me Down,Country,1984-06-19,0
140,0,"That Sunday, That Summer",Country,1984-06-19,0
36,0,Thank The Lord For The Night Time,Country,1984-06-19,0
73,1,Tell It To The Rain,Country,1984-06-19,0
421,0,Stay In My Corner,Rock,2005-07-24,0.55
296,0,Sweet Blindness,Rock,2005-07-24,0.55
230,0,Share Your Love With Me,Rock,2005-07-24,0.55
311,0,Something Better To Do,Rock,2005-07-24,0.55
452,0,In & Out,Rock,2005-07-24,0.55
90,1,Sweet Blindness,Rock,2005-07-24,2.75
127,0,Do I Do,Soul,2017-07-27,0.95
3,1,Do I Do,Soul,2017-07-27,0.95
279,0,Smooth Criminal,Soul,2016-10-03,0.95
205,1,Smooth Criminal,Soul,2016-10-03,0.95
255,0,One,Soul,2015-09-15,0.95
116,1,One,Soul,2015-09-15,0.95
387,0,Rock And Roll Dreams Come Through,Rock,2019-05-05,0
37,1,Rock And Roll Dreams Come Through,Rock,2019-05-05,0
496,0,Please Love Me Forever,Rock,2018-06-06,0
345,1,Please Love Me Forever,Rock,2018-06-06,0
435,0,Ain t Too Proud To Beg,Independent,2020-01-05,0.55
406,1,Ain t Too Proud To Beg,Independent,2020-01-05,0.55
123,0,Over Under Sideways Down,Independent,2019-11-28,0.55
242,1,Over Under Sideways Down,Independent,2019-11-28,0
184,0,Reflections Of My Life,Independent,2019-03-16,0
316,1,Reflections Of My Life,Independent,2019-03-16,0
349,0,Can t Stop Dancin ,Independent,2018-08-15,0
337,1,Can t Stop Dancin ,Independent,2018-08-15,0
81,0,American Storm,Punk Rock,2003-10-11,0.55
413,0,Didn t I (Blow Your Mind),Punk Rock,2003-10-11,0.55
265,0,Don t Cry,Punk Rock,2003-10-11,0.55
427,0,People Everyday,Punk Rock,2003-10-11,0.55
495,0,Cherry Pie,Punk Rock,2003-10-11,0.55
226,1,American Storm,Punk Rock,2003-10-11,2.75
355,0,A Swingin  Safari,Independent,1998-03-16,0
136,0,Dear Lonely Hearts,Independent,1998-03-16,0
162,0,Our Winter Love,Independent,1998-03-16,0
197,1,A,Independent,1998-03-16,0
395,0,Red Roses For A Blue Lady,Country,2009-10-19,0.55
284,0,Sing A Song,Country,2009-10-19,0.55
354,0,Ready To Take A Chance Again,Country,2009-10-19,0.55
267,0,Shine A Little Love,Country,2009-10-19,0.55
272,0,Can t Cry Anymore,Country,2009-10-19,0.55
97,1,Shine A Little Love,Country,2009-10-19,2.75
336,0,Summer Nights,Electro Pop,2011-04-27,0
128,1,Summer Nights,Electro Pop,2011-04-27,0
190,0,Stranger In My House,Electro Pop,2015-05-20,0
251,1,Stranger In My House,Electro Pop,2015-05-20,0
122,0,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95
96,1,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95
233,0,A Penny For Your Thoughts,Folk,2013-01-15,0
106,1,A Penny For Your Thoughts,Folk,2013-01-15,0
221,0,Burning Heart,Folk,2014-05-12,0.55
250,1,Burning Heart,Folk,2014-05-12,0.55
303,0,Don t Happen Twice,Folk,2013-04-10,0.55
222,0,Sideways,Folk,2013-04-10,0.55
433,0,Come With Me Now,Folk,2013-04-10,0.55
188,1,Sideways,Folk,2013-04-10,1.65
