Song,Artist,Album,Genre,Release Date,Price,articleID
One Less Lonely Girl,The Sunny Boys,One Less Lonely Girl (Single),Pop,1995-02-28,0.55,213
Paradise,22 Seconds to Boston,Ronan,Rock,2009-04-25,0.55,4
Ronan,22 Seconds to Boston,Ronan,Rock,2009-04-25,0.55,280
Diamonds,22 Seconds to Boston,Ronan,Rock,2009-04-25,0.55,300
That's My Kind Of Night,22 Seconds to Boston,Ronan,Rock,2009-04-25,0.55,14
Say Something,22 Seconds to Boston,Ronan,Rock,2009-04-25,0.55,315
Amnesia,22 Seconds to Boston,Amnesia,Rock,2011-05-17,0.55,241
Show Me What You Got,The Wheelies,Tell It To The Rain,Country,1984-06-19,0,497
Tell It To The Rain,The Wheelies,Tell It To The Rain,Country,1984-06-19,0,217
Please Remember Me,The Wheelies,Tell It To The Rain,Country,1984-06-19,0,224
Don't Bring Me Down,The Wheelies,Tell It To The Rain,Country,1984-06-19,0,363
"That Sunday, That Summer",The Wheelies,Tell It To The Rain,Country,1984-06-19,0,90
Thank The Lord For The Night Time,The Wheelies,Tell It To The Rain,Country,1984-06-19,0,286
Stay In My Corner,No Box,Sweet Blindness,Rock,2005-07-24,0.55,56
Sweet Blindness,No Box,Sweet Blindness,Rock,2005-07-24,0.55,379
Share Your Love With Me,No Box,Sweet Blindness,Rock,2005-07-24,0.55,445
Something Better To Do,No Box,Sweet Blindness,Rock,2005-07-24,0.55,117
In & Out,No Box,Sweet Blindness,Rock,2005-07-24,0.55,3
Do I Do,The Kicking Eyes,Do I Do,Soul,2017-07-27,0.95,348
Smooth Criminal,The Kicking Eyes,Smooth Criminal,Soul,2016-10-03,0.95,481
One,The Kicking Eyes,One,Soul,2015-09-15,0.95,92
Rock And Roll Dreams Come Through,John Williams,Rock And Roll Dreams Come Through,Rock,2019-05-05,0,278
Please Love Me Forever,John Williams,Please Love Me Forever,Rock,2018-06-06,0,207
Ain't Too Proud To Beg,Ayden Page,Ain't Too Proud To Beg,Independent,2020-01-05,0.55,408
Over Under Sideways Down,Ayden Page,Over Under Sideways Down,Independent,2019-11-28,0.55,307
Reflections Of My Life,Ayden Page,Reflections Of My Life,Independent,2019-03-16,0,266
Can't Stop Dancin',Ayden Page,Can't Stop Dancin',Independent,2018-08-15,0,281
American Storm,Kicking Dolls,American Storm,Punk Rock,2003-10-11,0.55,386
Didn't I (Blow Your Mind),Kicking Dolls,American Storm,Punk Rock,2003-10-11,0.55,64
Don't Cry,Kicking Dolls,American Storm,Punk Rock,2003-10-11,0.55,161
People Everyday,Kicking Dolls,American Storm,Punk Rock,2003-10-11,0.55,305
Cherry Pie,Kicking Dolls,American Storm,Punk Rock,2003-10-11,0.55,48
A Swingin' Safari,Alice In The Rain,A,Independent,1998-03-16,0,61
Dear Lonely Hearts,Alice In The Rain,A,Independent,1998-03-16,0,313
Our Winter Love,Alice In The Rain,A,Independent,1998-03-16,0,9
Red Roses For A Blue Lady,Greg McMiller,Shine A Little Love,Country,2009-10-19,0.55,297
Sing A Song,Greg McMiller,Shine A Little Love,Country,2009-10-19,0.55,462
Ready To Take A Chance Again,Greg McMiller,Shine A Little Love,Country,2009-10-19,0.55,0
Shine A Little Love,Greg McMiller,Shine A Little Love,Country,2009-10-19,0.55,177
Can't Cry Anymore,Greg McMiller,Shine A Little Love,Country,2009-10-19,0.55,375
Summer Nights,David Olsen,Summer Nights,Electro Pop,2011-04-27,0,430
Stranger In My House,David Olsen,Stranger In My House,Electro Pop,2015-05-20,0,494
"Do What You Want, Be What You Are",David Olsen,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95,144
A Penny For Your Thoughts,Zephiro,A Penny For Your Thoughts,Folk,2013-01-15,0,434
Burning Heart,Zephiro,Burning Heart,Folk,2014-05-12,0.55,58
Don't Happen Twice,Zephiro,Sideways,Folk,2013-04-10,0.55,247
Sideways,Zephiro,Sideways,Folk,2013-04-10,0.55,243
Come With Me Now,Zephiro,Sideways,Folk,2013-04-10,0.55,485
